"Alfred Herbert Lush",,,,
"Alfred John Sparke",,,,
"Andy Pratt",,,,
"Anthony H. Rogers",,,,
"Arthur Claude Shobbrook",,,,
"Barry Smethurst",,,,
"Carole Whitty",,,,
"Charles A. O'Donnell",,,,
"Christopher Venmore",,,,
"D. Widdicombe",,,,
"Daniel J.P. Mann",,,,
"E. Tapscott",,,,
"Edward B. Taylor",,,,
"Edward Pearce-Edgcumbe",,,,
"Gerrie Messer",,,,
"Gill Coombs",,,,
"H.W. Thomas",,,,
"Harold Ernest Desch",,,,
"Harold M. Luscombe",,,,
"J. Duffin",,,,
"J. Lewis",,,,
"J.R. Warde",,,,
"Jacqi Hodgson",,,,
"James Cornish",,,,
"James Golding",,,,
"James Thomas Mackenzie",,,,
"Jasper Parrott",,,,
"Jeffrey Beer",,,,
"John Cairns",,,,
"John Dent",,,,
"John Gregory",,,,
"John Kitson","Q76509689","2019 United Kingdom general election","Totnes","independent politician"
"John Thomas Mayne","Q98553680","1832 United Kingdom general election","Chippenham","Whigs"
"Julian Brazil",,,,
"Justin Haque",,,,
"Lewis Humfrey Edmunds",,,,
"Louise Webberley","Q75621738","2019 United Kingdom general election","Totnes","Labour Party"
"Lydia Somerville",,,,
"Michael Thompson",,,,
"Mike Treleaven",,,,
"Mike Turner",,,,
"Nicky Williams",,,,
"Pamela Cook",,,,
"Rachel Oliver",,,,
"Reginald C.J. Scott",,,,
"Rob Chave",,,,
"Robert Blank",,,,
"S.M. Spence",,,,
"Stephen Hopwood",,,,
"Steven Harvey",,,,
"T. Cedric Jones",,,,
"Terence J.B. Heelas",,,,
"Thomas Guy Gisborne",,,,
"Thomas Henry Aggett",,,,
"Thomas Underdown",,,,
"Thomas Wildy",,,,
"Valerie Burns",,,,
"Victor Ellery",,,,
"William Blount",,,,
"William Gregory Dawkins",,,,
"William Roy John Henwood",,,,
